player_id,x,y,cluster,name,position,archetype
26412.0,0.2856506,-2.0650043,4,Pablo Redondo Martínez,Right Wing,Creative playmaker
26415.0,2.4080725,3.4746861,5,Mikel Aguirregomezkorta Larrea,Center Forward,Wide progressive
26057.0,-0.90504104,0.13717017,9,Mariano Andrés Pernía,Left Back,Attacking fullback
26130.0,-0.7056039,-2.8798153,3,José Manuel Yanguas Calleja,Right Back,Possession system elite
26061.0,1.6241763,2.0733948,5,Mario Gutiérrez Cotelo,Right Midfield,Wide progressive
26129.0,13.719641,6.3834763,0,Francisco Javier Sánchez Broto,Goalkeeper,Shot-stopper
26054.0,1.4612525,-2.0680969,4,Gheorghe Craioveanu,Center Forward,Creative playmaker
8193.0,2.8941357,3.7035837,5,Maximiliano Gastón López,Center Forward,Wide progressive
26058.0,-3.0908663,2.1806397,8,David Belenguer Reverter,Right Center Back,Stopper CB
26060.0,0.8859126,3.4147925,6,Diego Rivas Gutiérrez,Right Center Midfield,Defensive anchor
26055.0,0.64202285,-3.0823424,3,Iván Sánchez Rico Soto,Right Center Forward,Possession system elite
26131.0,-3.1770964,0.6849552,10,Victoriano Rivas Álvaro,Left Center Back,Aerial commander
26053.0,1.8632656,1.6311035,5,Ángel Manuel Vivar Dorado,Left Center Forward,Wide progressive
26128.0,3.0770953,0.1649855,4,Jorge Gonzalez Diaz,Right Center Forward,Creative playmaker
26140.0,-3.0295208,4.037583,7,Hugo Benjamín Ibarra,Right Back,Aggressive stopper
26139.0,-1.5135136,4.8284354,6,Antonio Álvarez Pérez,Right Center Midfield,Defensive anchor
26138.0,-3.359325,1.4879646,10,David García De La Cruz,Left Back,Aerial commander
26137.0,1.2083106,-2.6184654,4,Óscar Serrano Rodriguez,Left Midfield,Creative playmaker
15743.0,3.1809654,4.3043985,5,Henrik Larsson,Center Forward,Wide progressive
26136.0,-3.8818278,3.4382358,8,Mauricio Roberto Pochettino Trossero,Right Center Back,Stopper CB
26105.0,-0.9084437,0.06242551,9,Iván De la Peña López,Center Attacking Midfield,Attacking fullback
26124.0,1.9311345,6.0485415,2,Maximiliano Rubén Rodríguez,Right Center Forward,Box-to-box engine
26109.0,3.3790283,3.7580748,5,Raúl Tamudo Montero,Center Forward,Wide progressive
13811.0,-1.3520744,4.884735,6,José Emilio Amavisca Gárate,Left Wing,Defensive anchor
26135.0,-3.3009076,4.191323,7,Alex Fernandez Sanchez,Center Defensive Midfield,Aggressive stopper
26462.0,0.90094036,6.2584786,2,Gerardo García León,Right Center Midfield,Box-to-box engine
19296.0,0.7346646,-0.06867851,5,Mark van Bommel,Right Center Midfield,Wide progressive
26460.0,13.926205,5.8203683,0,Francesc Arnau,Goalkeeper,Shot-stopper
26044.0,-3.3846807,4.3250804,7,César González Navas,Right Center Back,Aggressive stopper
25910.0,0.17224617,-0.021720016,5,José Edmílson Gomes de Moraes,Center Defensive Midfield,Wide progressive
26246.0,0.28581974,10.286005,1,Salvador Ballesta Vialcho,Right Center Forward,Generalist
26459.0,-2.8528364,3.1521044,8,Vicente Valcarce Cano,Left Back,Stopper CB
26461.0,2.3776412,6.462273,2,Pablo González Couñago,Left Center Forward,Box-to-box engine
25985.0,-0.48505297,10.413429,1,David Coromina Pararols,Left Back,Generalist
25979.0,-3.0149665,4.41152,7,Eduardo Alonso Álvarez,Right Back,Aggressive stopper
25977.0,0.9983682,6.8453856,2,Alejandro Castro Fernández,Left Center Midfield,Box-to-box engine
25981.0,0.72044706,9.537306,1,Santiago Carpintero Fernández,Right Center Midfield,Generalist
25983.0,-3.377493,4.3104157,7,Josu Sarriegi Zumárraga,Right Center Back,Aggressive stopper
25974.0,13.731932,6.516,0,Franco Costanzo,Goalkeeper,Shot-stopper
25987.0,2.4850938,-0.07114487,4,Rodolfo Bodipo Díaz,Left Center Forward,Creative playmaker
25975.0,1.4653733,4.077463,-1,Blagoy Georgiev,Right Midfield,Uncategorised
25764.0,1.7993464,6.9926424,2,Anderson Luis de Carvalho,Left Midfield,Box-to-box engine
25972.0,0.24829015,11.646668,1,Elton Giovanni Machado,Left Center Midfield,Generalist
25934.0,1.0995436,-1.8918958,4,Juan Román Riquelme,Right Wing,Creative playmaker
25940.0,2.38227,0.10441429,4,José María Romero Poyón,Center Attacking Midfield,Creative playmaker
25938.0,0.9364597,5.913125,2,Juan Pablo Sorín,Left Wing,Box-to-box engine
20135.0,1.2393538,7.003227,2,Marcos Antonio Senna da Silva,Left Center Midfield,Box-to-box engine
25939.0,1.1793882,6.269024,2,José Joaquín Moreno Verdú,Right Center Midfield,Box-to-box engine
25937.0,1.1172602,6.976545,2,Javier Rodríguez Venta,Right Back,Box-to-box engine
25936.0,13.94214,5.6412597,0,Mario Sebastián Viera Galain,Goalkeeper,Shot-stopper
25933.0,-3.304455,3.1044595,8,Juan Manuel Peña Montaño,Left Center Back,Stopper CB
25935.0,-0.2824375,10.442171,1,Rodolfo Martín Arruabarrena,Left Back,Generalist
25931.0,-1.9335824,2.6485991,6,Gonzalo Javier Rodríguez,Right Center Back,Defensive anchor
25941.0,-0.23712113,11.864479,1,Luciano Gabriel Figueroa Herrera,Center Forward,Generalist
25929.0,0.06684628,-1.8721219,4,Roger García Junyent,Left Back,Creative playmaker
25925.0,0.8734449,9.191892,1,Gabriel Francisco García de la Torre,Right Back,Generalist
25986.0,1.5735599,2.1728396,5,Borja Oubiña Meléndez,Left Defensive Midfield,Wide progressive
3064.0,1.6457727,-0.5140048,4,David Josué Jiménez Silva,Left Wing,Creative playmaker
25973.0,-2.4910097,1.7492198,10,Matías Emanuel Lequi,Left Center Back,Aerial commander
25971.0,15.318066,2.8287535,0,Esteban Andrés Suárez,Goalkeeper,Shot-stopper
25976.0,-0.3341604,-0.3808336,5,Diego Rodolfo Placente,Left Back,Wide progressive
25969.0,-2.8124418,1.2189702,10,Sergio Fernández González,Right Center Back,Aerial commander
25980.0,0.0590792,-1.8087502,4,Néstor Fabián Canobbio Bentaberry,Center Attacking Midfield,Creative playmaker
25988.0,0.85007304,-3.0938563,3,João Fernando Nelo,Center Forward,Possession system elite
25982.0,3.0566225,0.28312665,4,Antonio Núñez Tena,Right Wing,Creative playmaker
25978.0,3.1685586,2.8053524,5,Iriney Santos Da Silva,Right Defensive Midfield,Wide progressive
25968.0,3.2422397,1.9195728,5,Francisco Javier García Guerrero,Right Center Forward,Wide progressive
26453.0,-3.2407432,1.1368518,10,Juan Alberto Andreu Alvarado,Right Center Back,Aerial commander
26069.0,-1.2747009,1.3741812,9,Luis Fernández Gutiérrez,Left Back,Attacking fullback
26456.0,1.9101758,6.7769823,2,Luís Eduardo Schmidt,Center Attacking Midfield,Box-to-box engine
26484.0,13.878676,6.1590576,0,Antonio Baltasar Doblas Santana,Goalkeeper,Shot-stopper
25254.0,1.4282255,8.738366,1,Diego Tardelli Martins,Left Wing,Generalist
20519.0,-3.7802088,3.392307,8,Juan Gutiérrez Moreno,Left Center Back,Stopper CB
26464.0,2.0666816,1.7496634,5,Arturo García Muñoz,Right Center Midfield,Wide progressive
26486.0,-2.8878906,4.5223694,7,Oscar López Hernández,Left Back,Aggressive stopper
26485.0,2.4159913,-0.12582164,4,Daniel Martín Alexandre,Center Forward,Creative playmaker
26201.0,-2.1060772,4.2608967,7,Fernando Varela Ramos,Left Back,Aggressive stopper
26450.0,0.012087746,11.831612,1,Robert de Pinho de Souza,Left Wing,Generalist
26062.0,-1.8539168,1.1041805,-1,Rubén Martín Pulido,Right Back,Uncategorised
26040.0,-1.9343768,0.113104105,10,Aníbal Samuel Matellán,Left Center Back,Aerial commander
20132.0,1.9043063,7.9190474,1,Daniel González Güiza,Center Forward,Generalist
26056.0,1.7881813,3.620548,-1,David García Cubillo,Center Defensive Midfield,Uncategorised
26059.0,15.742763,2.041967,0,Luis García Conde,Goalkeeper,Shot-stopper
24797.0,-3.0403998,4.4012456,7,Didier Domi,Left Back,Aggressive stopper
26108.0,-1.1403433,-2.4339836,3,Eduardo Nascimento Costa,Right Defensive Midfield,Possession system elite
26110.0,-3.747946,3.3489702,8,Daniel Jarque Gonzalez,Left Center Back,Stopper CB
23916.0,1.8110536,6.849179,2,Luis García Fernández,Left Wing,Box-to-box engine
26106.0,-2.1751182,4.2511487,7,Armando Miguel Correia de Sa,Right Back,Aggressive stopper
26104.0,-3.028732,2.693085,8,Fredson Câmara Pereira,Left Defensive Midfield,Stopper CB
26148.0,-3.017365,4.611942,7,José Moratón Taeño,Right Center Back,Aggressive stopper
26145.0,-0.828371,11.424421,1,Francisco Borja Enrique Ayesa,Left Center Back,Generalist
26146.0,13.775362,6.3139563,0,Dudú Aouate,Goalkeeper,Shot-stopper
26149.0,1.3175073,8.93312,1,Stephane Dalmat,Right Center Midfield,Generalist
26147.0,-2.874232,4.6074715,7,Ayoze Díaz Díaz,Left Back,Aggressive stopper
25430.0,2.6820548,2.4949691,5,Felipe Melo de Carvalho,Left Center Midfield,Wide progressive
