matrix_row,player_id,label,archetype,name,position,x,y
232,20669,5,Wide progressive,Tiago Cardoso Mendes,Left Defensive Midfield,0.09834106,-0.38285267
233,5199,5,Wide progressive,Jorge Resurrección Merodio,Left Midfield,1.0594712,0.4672886
234,4788,6,Defensive anchor,Jesús Gámez Duarte,Left Back,-1.4270307,2.3616586
235,7069,0,Shot-stopper,Miguel Ángel Moyà Rumbo,Goalkeeper,14.230685,4.9182835
236,6375,4,Creative playmaker,Juan Francisco Torres Belén,Right Back,0.07664229,-1.4962826
237,5487,5,Wide progressive,Antoine Griezmann,Left Center Forward,2.6067388,2.3780522
238,5249,10,Aerial commander,Diego Roberto Godín Leal,Left Center Back,-2.7916622,1.3735187
239,6384,-1,Uncategorised,Gabriel Fernández Arenas,Right Defensive Midfield,0.27911678,1.923105
240,5259,8,Stopper CB,José María Giménez de Vargas,Right Center Back,-2.7689617,2.9696898
241,11094,4,Creative playmaker,Arda Turan,Left Center Midfield,2.2441046,-0.5821535
242,5472,1,Generalist,Mario Mandžukić,Center Forward,-0.13322333,11.829731
243,6382,2,Box-to-box engine,Fernando José Torres Sanz,Left Center Forward,2.510879,6.1363745
244,6391,2,Box-to-box engine,Raúl García Escudero,Center Attacking Midfield,1.5121584,6.7987165
245,26780,5,Wide progressive,Guilherme Magdalena Siqueira,Left Back,-0.14852598,-0.37680268
246,26764,7,Aggressive stopper,Jon Ansotegi Gorostola,Left Center Back,-3.157376,3.9657006
247,3023,9,Attacking fullback,Yuri Berchiche Izeta,Left Back,-0.84157276,0.25351036
248,6357,6,Defensive anchor,Jonathan dos Santos Ramírez,Right Midfield,1.05865,3.7843275
249,11675,5,Wide progressive,Moisés Gómez Bordonado,Left Wing,2.3377047,2.5684955
250,23930,4,Creative playmaker,Ikechukwu Uche,Right Center Forward,2.712005,0.20193565
251,6627,9,Attacking fullback,Damián Nicolás Suárez Suárez,Right Back,-1.2036706,1.4946454
252,6557,6,Defensive anchor,Adrián González Morales,Center Attacking Midfield,0.49101925,3.5801144
253,27206,7,Aggressive stopper,Sergio Pelegrín López,Left Center Back,-2.8248613,4.308651
254,26238,4,Creative playmaker,Domingo Cisma González,Left Back,1.864229,-1.5448582
255,16456,10,Aerial commander,Enzo Pablo Roco Roco,Left Center Back,-2.7796342,1.2341102
256,5724,5,Wide progressive,Fayçal Fajr,Left Midfield,1.1635531,0.37247953
257,15893,5,Wide progressive,Víctor Rodríguez Romero,Center Attacking Midfield,2.5819376,2.4391003
258,9082,0,Shot-stopper,Przemysław Tytoń,Goalkeeper,14.622722,4.2968726
259,25849,2,Box-to-box engine,Aarón Níguez Esclapez,Left Wing,1.6774596,6.967344
260,11603,1,Generalist,Mario Pašalić,Left Center Midfield,0.5632185,10.647327
261,8584,2,Box-to-box engine,Jonathas Cristian de Jesus,Center Forward,2.4260333,6.3901544
262,27245,9,Attacking fullback,José Eduardo Albácar Gallego,Left Back,-1.3196514,1.1354383
263,6702,10,Aerial commander,David Rodríguez Lombán,Left Center Back,-2.8346696,1.7993219
264,26102,5,Wide progressive,Ferrán Corominas Telechea,Right Wing,3.3687613,3.1179826
265,18721,5,Wide progressive,Robert Ibáñez Castro,Right Wing,3.2684262,3.0584915
266,23761,4,Creative playmaker,Alhassane Bangoura,Right Wing,2.500029,-0.6628842
267,6692,0,Shot-stopper,Oier Olazábal Paredes,Goalkeeper,14.505655,4.465919
